"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"d5703"	"d570"	"Att välja och inta hälsosam kost"	"Välja och inta hälsosam kost"	"Att ta hand om sig själv genom att välja och konsumera näringsriktiga födoämnen"	""	""	""	""
"d5704"	"d570"	"Att sköta sin fysiska aktivitet"	"Sköta sin fysiska aktivitet"	"Att ta hand om sig själv genom att upprätthålla eller förbättra fysisk kondition"	""	""	""	""
"d5705"	"d570"	"Att sköta sin psykiska hälsa"	"Sköta sin psykiska hälsa"	"Att ta hand om sig själv genom att göra vad som behövs för att upprätthålla eller förbättra psykisk hälsa"	""	""	""	""
"d5706"	"d570"	"Att sköta sin sexuella hälsa"	"Sköta sin sexuella hälsa"	"Att ta hand om sig själv genom att upprätthålla eller förbättra sexuella aktiviteter för fysiskt, emotionellt, psykiskt och socialt välbefinnande, såsom att ha säkra sexualvanor (inklusive att använda kondom) och att engagera sig i tillfredsställande sexuell aktivitet"	""	""	""	""
"d5708"	"d570"	"Att sköta sin egen hälsa, annat specificerat"	""	""	""	""	""	""
"d5708A"	"d5708"	"Att sköta sin munhälsa"	"Sköta sin munhälsa"	"Att ta hand om sig själv genom att göra vad som behövs för att upprätthålla eller förbättra munhälsa"	""	"att sköta tänderna (d5201)"	""	""
"d5709"	"d570"	"Att sköta sin egen hälsa, ospecificerat"	""	""	""	""	""	""
"d598"	"d5"	"Personlig vård, annat specificerat"	""	""	""	""	""	""
"d598A"	"d598"	"Att se till sin egen säkerhet"	"Se till sin egen säkerhet"	"Att undvika risker som kan leda till fysisk skada eller olycka. Att undvika potentiellt farliga situationer, såsom att hantera eld på ett felaktigt sätt eller att springa ut i trafiken"	""	""	""	""
"d599"	"d5"	"Personlig vård, ospecificerat"	""	""	""	""	""	""
"d6"	"d"	"Hemliv"	""	"Detta kapitel handlar om att genomföra husliga och dagliga sysslor och uppgifter. Områden av hemarbete innefattar att skaffa bostad, mat, kläder och andra förnödenheter, hålla rent, reparera och ta hand om personliga och andra hushållsföremål samt att hjälpa andra"	""	""	""	""
"d610"	"d610-d629"	"Att skaffa bostad"	"Skaffa bostad"	"Att köpa, hyra, möblera och ordna ett rum, ett hus, en lägenhet eller annan bostad"	"att köpa eller hyra en bostad och att möblera en bostad"	"att skaffa varor och tjänster (d620); att ta hand om personliga föremål (d650)"	""	""
"d610-d629"	"d6"	"Att skaffa förnödenheter"	""	""	""	""	""	""
"d6100"	"d610"	"Att köpa en bostad"	"Köpa bostad"	"Att bli ägare till ett hus, lägenhet eller annan bostad"	""	""	""	""
"d6101"	"d610"	"Att hyra en bostad"	"Hyra bostad"	"Att mot betalning skaffa sig nyttjanderätt till ett hus, lägenhet eller annan bostad som tillhör någon annan"	""	""	""	""
"d6102"	"d610"	"Att möblera en bostad"	"Möblera bostad"	"Att utrusta och ställa i ordning ett bostadsutrymme med möbler, inventarier och övrig inredning, att dekorera rum, ordna en egen plats, eget rum"	""	""	""	""
"d6108"	"d610"	"Att skaffa bostad, annat specificerat"	""	""	""	""	""	""
"d6109"	"d610"	"Att skaffa bostad, ospecificerat"	""	""	""	""	""	""
"d620"	"d610-d629"	"Att skaffa varor och tjänster"	"Skaffa varor och tjänster"	"Att välja, anskaffa och transportera alla varor och tjänster som krävs för det dagliga livet såsom att välja, anskaffa, transportera och förvara mat, dryck, kläder, rengöringsmaterial, bränsle, hushållsartiklar, husgeråd, kokkärl, hushållsredskap och verktyg; att anskaffa nyttoföremål och andra hushållstjänster, att hämta och leverera (pappers)brev eller paket"	"att göra inköp och skaffa dagliga förnödenheter"	"att skaffa bostad (d610)"	""	""
"d6200"	"d620"	"Att göra inköp"	"Göra inköp"	"Att i utbyte mot pengar skaffa varor och tjänster som behövs för det dagliga livet, innefattande att instruera och handleda en mellanhand att göra inköp, såsom att välja mat, dryck, rengöringsmedel, hushållsartiklar och kläder i en affär eller på en marknad, att jämföra kvalitet och pris på de saker man behöver, att förhandla om priset och betala för de utvalda varorna eller tjänsterna samt att transportera varorna"	""	""	""	""
"d6201"	"d620"	"Att skaffa dagliga förnödenheter"	"Skaffa dagliga förnödenheter"	"Att utan utbyte mot pengar skaffa varor och tjänster som behövs för det dagliga livet, innefattande att instruera och handleda en mellanhand att samla ihop de dagliga förnödenheterna, såsom att skörda grönsaker och frukter, skaffa vatten och bränsle samt hämta och leverera (pappers)brev eller paket"	""	""	""	""
"d6208"	"d620"	"Att skaffa varor och tjänster, annat specificerat"	""	""	""	""	""	""
"d6209"	"d620"	"Att skaffa varor och tjänster, ospecificerat"	""	""	""	""	""	""
"d629"	"d610-d629"	"Att skaffa förnödenheter, annat specificerat och ospecificerat"	""	""	""	""	""	""
"d630"	"d630-d649"	"Att bereda måltider"	"Bereda måltider"	"Att planera, organisera, laga och servera enkla och sammansatta måltider till sig själv och andra såsom att göra upp en matsedel, välja ut ätlig mat och dryck och samla ihop ingredienser för att bereda måltider, laga varm mat och förbereda kall mat och dryck samt servera maten"	"att bereda enkla och sammansatta måltider"	"att äta (d550); att dricka (d560); att skaffa varor och tjänster (d620); hushållsarbete (d640); att ta hand om personliga föremål (d650); att bistå andra (d660)"	""	""
"d630-d649"	"d6"	"Att utföra hushållsgöromål"	""	""	""	""	""	""
"d6300"	"d630"	"Att bereda enkla måltider"	"Bereda enkla måltider"	"Att planera, organisera, laga och servera måltider med få ingredienser och på ett lätt sätt bereda och servera såsom att göra en enrätters måltid, att anrätta ingredienser genom att skära, röra, koka och värma mat såsom ris eller potatis"	""	""	""	""
"d6301"	"d630"	"Att bereda sammansatta måltider"	"Bereda sammansatta måltider"	"Att planera, organisera, laga och servera måltider med många ingredienser som kräver sammansatta sätt att bereda och servera såsom att planera en flerrätters måltid, anrätta matingredienser genom kombinerade handlingar såsom att skala, skiva, blanda, knåda, röra samt lägga upp och servera mat på ett sätt som är lämpligt med hänsyn till tillfälle och kultur"	""	"att använda hushållsapparater (d6403)"	""	""
"d6308"	"d630"	"Att bereda måltider, annat specificerat"	""	""	""	""	""	""
"d6309"	"d630"	"Att bereda måltider, ospecificerat"	""	""	""	""	""	""
"d640"	"d630-d649"	"Att utföra hushållsarbete"	"Hushållsarbete"	"Att klara ett hushåll innefattande att hålla rent i hemmet, tvätta kläder, använda hushållsapparater, lagra mat och ta hand om avfall såsom att sopa, bona, tvätta bänkar, väggar och andra ytor, samla och kasta avfall, städa rum, garderober och lådor, samla ihop, tvätta, torka, vika och stryka kläder, putsa skor, använda kvastar, borstar och dammsugare, använda tvättmaskin, torkapparat och strykjärn, bädda en säng"	"att tvätta och torka kläder, att rengöra kök och köksredskap, städa bostaden, använda hushållsapparater, förvara dagliga förnödenheter, slänga avfall och göra i ordning sovplatser"	"att skaffa bostad (d610); att skaffa varor och tjänster (d620); att bereda måltider (d630); att ta hand om personliga föremål (d650); att ta hand om andra (d660)"	""	""
"d6400"	"d640"	"Att tvätta och torka kläder"	"Tvätta och torka textilier"	"Att tvätta kläder för hand och hänga ut dem att torka i luften"	""	""	""	""
"d6401"	"d640"	"Att städa köksutrymme och köksredskap"	"Städa köket och köksredskap"	"Att städa upp efter matlagning såsom att diska, rengöra pannor, kastruller och matlagningsredskap samt städa bord och golv i matlagnings- och måltidsutrymmen"	""	""	""	""
"d6402"	"d640"	"Att städa bostaden"	"Städa bostaden"	"Att städa hemmet såsom att städa upp och damma, sopa, skura, torka av golv, tvätta fönster och väggar, rengöra badrum och toaletter och att rengöra hemmets möbler"	""	""	""	""
"d6403"	"d640"	"Att använda hushållsapparater"	"Använda hushållsapparater"	"Att använda olika slags hushållsapparater såsom tvättmaskin, torkapparat, strykjärn, dammsugare och diskmaskin"	""	""	""	""
"d6404"	"d640"	"Att förvara förnödenheter för det dagliga livet"	"Förvara förnödenheter för det dagliga livet"	"Att förvara mat, dryck, kläder och andra hushållsvaror som behövs för det dagliga livet innefattande att bereda mat för att konservera, salta eller frysa, att hålla mat färsk och utom räckhåll för djur"	""	""	""	""
"d6405"	"d640"	"Att avlägsna avfall"	"Avlägsna avfall"	"Att göra sig av med hushållsavfall såsom att samla ihop skräp och sopor i hemmet, hantera avfall för att kasta det, använda anordningar för avfallshantering, bränna avfall"	""	""	""	""
"d6407"	"d640"	"Att göra i ordning sovplatser"	"Göra iordning sovplatser"	"Att sätta upp en plats att sova på såsom att bädda en säng, göra i ordning en futon eller en matta"	""	""	""	""
"d6408"	"d640"	"Att utföra hushållsarbete, annat specificerat"	""	""	""	""	""	""
"d6408A"	"d6408"	"Att tvätta och torka kläder och textilier med hushållsapparater"	"Tvätta och torka kläder och textilier med hushållsapparater"	"Att tvätta kläder och textilier i tvättmaskin och torka på lämpligt sätt (t.ex. i torktumlare)"	""	""	""	""
"d6409"	"d640"	"Att utföra hushållsarbete, ospecificerat"	""	""	""	""	""	""
"d649"	"d630-d649"	"Att utföra hushållsgöromål, andra specificerade och ospecificerade"	""	""	""	""	""	""
"d650"	"d650-d669"	"Att ta hand om hemmets föremål"	"Ta hand om hemmets föremål"	"Att underhålla och laga hushållsföremål och andra personliga föremål innefattande bostaden och dess inventarier, kläder, material för lek och rekreation, fordon och hjälpmedel samt att ta hand om växter och djur, såsom att måla eller tapetsera rum, laga möbler, reparera rörsystem, försäkra sig om att fordon fungerar riktigt, vattna blommor, sköta och ge mat till sällskapsdjur och husdjur samt ta hand om entréer, gångvägar och uppfarter"	"att tillverka och laga kläder, underhålla bostad, möbler och hushållsapparater; underhålla fordon, hjälpmedel; ta hand om växter (inne och ute), djur samt entréer, gångvägar och uppfarter"	"att skaffa bostad (d610); att skaffa varor och tjänster (d620); hushållsarbete (d640); ta hand om andra (d660); att engagera sig i betald sysselsättning (d850)"	""	""
"d650-d669"	"d6"	"Att ta hand om hushållsföremål och att bistå andra"	""	""	""	""	""	""
"d6500"	"d650"	"Att tillverka och laga kläder"	"Tilllverka och laga kläder"	"Att tillverka och laga kläder innefattande att sy, producera eller ändra kläder, sy i knappar och fästanordningar, stryka kläder, laga och putsa skor"	""	"att använda hushållsapparater (d6403)"	""	""
"d6501"	"d650"	"Att underhålla bostad och möblemang"	"Underhålla bostad och möblemang"	"Att reparera och ta hand om bostad, utvändigt och invändigt och dess inredning såsom att måla, reparera inventarier och möbler samt att använda nödvändiga verktyg för reparationerna"	""	""	""	""
"d6502"	"d650"	"Att underhålla hushållsapparater"	"Underhålla hushållsapparater"	"Att reparera och ta hand om alla hushållsapparater för matlagning, rengöring och reparation såsom genom att smörja och reparera verktyg och underhålla tvättmaskin"	""	""	""	""
"d6503"	"d650"	"Att underhålla transportmedel"	"Underhålla transportmedel"	"Att reparera och ta hand om motoriserade och icke-motoriserade transportmedel för personligt bruk innefattande cyklar, kärror, bilar och båtar"	""	""	""	""
"d6504"	"d650"	"Att underhålla hjälpmedel"	"Underhålla hjälpmedel"	"Att reparera och ta hand om hjälpmedel såsom proteser, ortoser och specialiserade verktyg och hjälpmedel för hushållsskötsel och personlig vård, att underhålla och reparera hjälpmedel för personlig förflyttning som t.ex. käppar, rollatorer, rullstolar och sparkcyklar samt att underhålla hjälpmedel för kommunikation och fritid"	""	""	""	""
"d6505"	"d650"	"Att ta hand om växter, inomhus och utomhus"	"Ta hand om växter, inomhus och utomhus"	"Att sköta växter inomhus och utomhus innefattande att plantera, vattna och göda växter, se till växter och odla födoämnen för personligt bruk"	""	""	""	""
"d6506"	"d650"	"Att ta hand om djur"	"Ta hand om djur"	"Att ta hand om husdjur och sällskapsdjur innefattande att utfodra, rengöra, trimma och träna sällskapsdjur, se till husdjurens eller sällskapsdjurens hälsa, planera för vården av husdjuren eller sällskapsdjuren när man själv är borta"	""	""	""	""
"d6507"	"d650"	"Att ta hand om gångvägar och uppfarter"	"Ta hand om gångvägar och uppfarter"	"Att sköta om egna vägar såsom gångvägar eller entréer till hus, till exempel att ta bort snö, löv, smuts eller sand från entréer samt sprida sand eller annat material"	""	"att underhålla bostad och möblemang (d6501); att ta hand om växter, inomhus och utomhus (d6505)"	""	""
"d6508"	"d650"	"Att ta hand om hemmets föremål, annat specificerat"	""	""	""	""	""	""
"d6509"	"d650"	"Att ta hand om hemmets föremål, ospecificerat"	""	""	""	""	""	""
"d660"	"d650-d669"	"Att bistå andra"	"Bistå andra"	"Att hjälpa medlemmar av hushållet och andra med deras lärande, kommunikation, personliga vård, förflyttning inom eller utanför hemmet och att vara engagerad i hushållsmedlemmarnas och andras välbefinnande inom dessa områden"	"att hjälpa andra med personlig vård, förflyttning, kommunikation, mellanmänskliga relationer, näringstillförsel, att sköta sin hälsa och att amma"	"att engagera sig i betald sysselsättning (d850)"	""	""
"d6600"	"d660"	"Att bistå andra med personlig vård"	"Bistå andra med personlig vård"	"Att hjälpa hushållsmedlemmar och andra i genomförande av personlig vård innefattande att hjälpa andra med att äta, bada och att klä sig, att ta hand om barn eller hushållsmedlemmar som är sjuka eller har svårigheter med den grundläggande personliga vården, att hjälpa andra med toalettbehov"	""	""	""	""
"d6601"	"d660"	"Att bistå andra med förflyttning"	"Bistå andra med förflyttning"	"Att hjälpa hushållsmedlemmar och andra med förflyttning och att förflytta sig utanför hemmet såsom i grannskapet eller staden, till och från skola, arbetsplats eller annat mål"	""	""	""	""
"d6602"	"d660"	"Att bistå andra med kommunikation"	"Bistå andra med kommunikation"	"Att hjälpa hushållsmedlemmar och andra med deras kommunikation såsom genom att hjälpa med att tala, skriva eller läsa"	""	""	""	""
"d6603"	"d660"	"Att bistå andra i mellanmänskliga relationer"	"Bistå andra i mellanmänskliga relationer"	"Att hjälpa hushållsmedlemmar och andra med deras mellanmänskliga interaktioner såsom genom att hjälpa dem att påbörja, upprätthålla eller avsluta relationer"	""	""	""	""
"d6604"	"d660"	"Att bistå andra med näringstillförsel"	"Bistå andra med näringstillförsel"	"Att hjälpa hushållsmedlemmar och andra med deras näringstillförsel såsom att hjälpa dem att bereda och äta måltider"	""	"att amma spädbarn och barn (d6607)"	""	""
"d6605"	"d660"	"Att bistå andra att sköta sin hälsa"	"Bistå andra att sköta sin hälsa"	"Att hjälpa hushållsmedlemmar och andra med deras formella och informella hälsovård såsom att försäkra sig om att ett barn får regelbunden medicinsk kontroll eller att en äldre släkting tar nödvändig medicin"	""	""	""	""
"d6607"	"d660"	"Att amma spädbarn och barn"	"Amma spädbarn och barn"	"Att amma ett spädbarn eller barn med mjölk direkt från bröstet"	""	""	""	""
"d6608"	"d660"	"Att bistå andra, annat specificerat"	""	""	""	""	""	""
"d6608A"	"d6608"	"Att som vårdnadshavare bistå barnet"	""	"Att som förälder hjälpa barnet med lärande, kommunikation, personliga vård, förflyttning inom eller utanför hemmet och att vara engagerad i barnets välbefinnande inom dessa områden"	""	""	""	""
"d6608B"	"d6608"	"Att som anhörig bistå närstående"	""	"Att som anhörig hjälpa medlemmar av hushållet och andra med deras lärande, kommunikation, personliga vård, förflyttning inom eller utanför hemmet och att vara engagerad i hushållsmedlemmarnas och andras välbefinnande inom dessa områden"	""	""	""	""
"d6609"	"d660"	"Att bistå andra, ospecificerat"	""	""	""	""	""	""
"d669"	"d650-d669"	"Att ta hand om hushållsföremål och att bistå andra, annat specificerat och ospecificerat"	""	""	""	""	""	""
"d698"	"d6"	"Hemliv, annat specificerat"	""	""	""	""	""	""
"d699"	"d6"	"Hemliv, ospecificerat"	""	""	""	""	""	""
"d7"	"d"	"Att engagera sig i mellanmänskliga interaktioner och relationer"	"Mellanmänskliga interaktioner och relationer"	"Detta kapitel handlar om att genomföra de handlingar och uppgifter som behövs för grundläggande och sammansatta interaktioner med människor (okända, vänner, släktingar, familjemedlemmar och andra närstående) på ett i sammanhanget lämpligt och socialt passande sätt"	""	""	""	""
"d710"	"d710-d729"	"Att engagera sig i grundläggande mellanmänskliga interaktioner"	"Grundläggande socialt samspel"	"Att samspela med människor på ett i sammanhanget socialt lämpligt sätt såsom att när det är lämpligt visa hänsynstagande och uppskattning eller att reagera på andras känslor"	"att visa respekt, värme, tacksamhet och tolerans i förhållanden, att svara på kritik och sociala signaler och att använda lämplig fysisk kontakt"	"att engagera sig i sammansatta mellanmänskliga interaktioner (d720)"	""	""
"d710-d729"	"d7"	"Att engagera sig i allmänna mellanmänskliga interaktioner"	""	""	""	""	""	""
"d7100"	"d710"	"Att interagera med värme i relationer"	"Värme i relationer"	"Att visa och besvara med hänsynstagande på ett i sammanhanget och socialt lämpligt sätt"	""	""	""	""
"d7101"	"d710"	"Att interagera med uppskattning i relationer"	"Uppskattning i relationer"	"Att visa och besvara tillfredsställelse och tacksamhet på ett i sammanhanget och socialt lämpligt sätt"	""	""	""	""
"d7102"	"d710"	"Att interagera med tolerans i relationer"	"Tolerans i relationer"	"Att visa och besvara med förståelse och acceptans av beteenden på ett i sammanhanget och socialt lämpligt sätt"	""	""	""	""
"d7103"	"d710"	"Att ge och ta kritik i relationer"	"Kritik i relationer"	"Att ge och besvara underförstådda och uttryckliga skillnader i åsikt eller meningsskiljaktigheter på ett i sammanhanget och socialt lämpligt sätt"	""	""	""	""
"d7104"	"d710"	"Att ta hänsyn till sociala signaler i relationer"	"Sociala signaler i relationer"	"Att på ett lämpligt sätt ge och reagera på signaler och vinkar som inträffar i sociala interaktioner"	""	""	""	""
"d7105"	"d710"	"Att ha fysisk kontakt i relationer"	"Fysisk kontakt i relationer"	"Att svara på och ge kroppskontakt med andra på ett socialt lämpligt sätt"	""	""	""	""
"d7106"	"d710"	"Att särskilja bekanta personer"	"Särskilja bekanta personer"	"Att visa olika svar till personer, såsom att sträcka sig efter en bekant person och särskilja den från främlingar och reagera på lämpligt sätt"	""	""	""	""
"d7107"	"d710"	"Att interagera med respekt i relationer"	"Respekt i relationer"	"Att visa och besvara med aktning och uppskattning på ett i sammanhanget och socialt lämpligt sätt"	""	""	""	""
"d7108"	"d710"	"Att engagera sig i grundläggande mellanmänskliga interaktioner, andra specificerade"	""	""	""	""	""	""
"d7109"	"d710"	"Att engagera sig i grundläggande mellanmänskliga interaktioner, ospecificerade"	""	""	""	""	""	""
"d720"	"d710-d729"	"Att engagera sig i sammansatta mellanmänskliga interaktioner"	"Bibehålla och hantera interaktioner med andra"	"Att bibehålla och hantera interaktioner med andra människor på ett i sammanhanget och socialt lämpligt sätt såsom att reglera känslor och impulser, reglera verbal och fysisk aggression, handla oberoende i sociala interaktioner och att handla i överensstämmelse med sociala regler och konventioner med exempelvis att leka, studera eller arbeta med andra"	"att bygga upp och avsluta relationer, interagera i överensstämmelse med sociala regler, reglera beteenden i interaktioner och behålla socialt avstånd"	"att engagera sig i grundläggande mellanmänskliga interaktioner (d710)"	""	""
"d7200"	"d720"	"Att bygga upp relationer"	"Bygga upp relationer"	"Att påbörja och bibehålla interaktioner med andra för kortare eller längre tid på ett i sammanhanget och socialt lämpligt sätt såsom att presentera sig, att finna och etablera vänskapsrelationer och professionella relationer, att påbörja en relation som kan bli bestående, romantisk eller intim"	""	""	""	""
"d7201"	"d720"	"Att avsluta relationer"	"Avsluta relationer"	"Att få interaktioner att ta slut på ett i sammanhanget och socialt lämpligt sätt såsom att avsluta tillfälliga relationer vid ett besöks slut eller långvariga relationer med vänner vid flytt till en annan ort eller att avsluta relationer med arbetskollegor, professionella kollegor och servicegivare samt att avsluta romantiska eller intima relationer"	""	""	""	""
"d7202"	"d720"	"Att reglera beteenden i interaktioner"	"Reglera beteenden i interaktioner"	"Att på ett i sammanhanget och socialt lämpligt sätt reglera känslor och impulser, verbal aggression och fysisk aggression i interaktion med andra"	""	""	""	""
"d7203"	"d720"	"Att interagera i överensstämmelse med sociala regler"	"Interagera enligt sociala regler"	"Att handla självständigt i sociala interaktioner och följa sociala konventioner som styr ens egen roll, position eller annan social status i interaktion med andra"	""	""	""	""
"d7204"	"d720"	"Att bibehålla socialt utrymme"	"Bibehålla personlig integritet"	"Att på ett socialt och kulturellt lämpligt sätt vara medveten om och bibehålla ett avstånd mellan sig själv och andra"	""	""	""	""
"d7208"	"d720"	"Att engagera sig i sammansatta mellanmänskliga interaktioner, andra specificerade"	""	""	""	""	""	""
"d7209"	"d720"	"Att engagera sig i sammansatta mellanmänskliga interaktioner, ospecificerade"	""	""	""	""	""	""
"d729"	"d710-d729"	"Att engagera sig i allmänna mellanmänskliga interaktioner, andra specificerade och ospecificerade"	""	""	""	""	""	""
"d730"	"d730-d779"	"Att ha kontakt med okända personer"	"Ha kontakt med okända personer"	"Att engagera sig i tillfälliga kontakter och förbindelser med okända personer för särskilda syften såsom att fråga efter vägen eller annan information, eller göra ett inköp"	""	"att engagera sig i formella relationer (d740); att engagera sig i informella sociala relationer (d750)d750)"	""	""
"d730-d779"	"d7"	"Att engagera sig i särskilda mellanmänskliga relationer"	""	""	""	""	""	""
"d740"	"d730-d779"	"Att engagera sig i formella relationer"	"Formella relationer"	"Att skapa och bibehålla specifika relationer i formella sammanhang såsom med lärare, arbetsgivare, yrkesutövande eller servicegivare"	"att ha kontakt med makthavare, underordnade och jämställda personer"	"att ha kontakt med okända (d730); att engagera sig i formell utbildning (d815)"	""	""
"d7400"	"d740"	"Att ha kontakt med makthavare"	"Ha kontakt med makthavare"	"Att skapa och bibehålla formella relationer med människor i maktpositioner eller med en högre rang eller anseende i relation till den egna ställningen som t.ex. en arbetsgivare"	""	""	""	""
"d7401"	"d740"	"Att ha kontakt med underordnade"	"Ha kontakt med underordnade"	"Att skapa och bibehålla formella relationer med människor i lägre ställning eller som har lägre rang eller anseende i relation till den egna ställningen som t.ex. en anställd eller tjänare"	""	""	""	""
"d7402"	"d740"	"Att ha kontakt med jämställda"	"Ha kontakt med jämställda"	"Att skapa och bibehålla formella relationer med människor i samma ställning beträffande makt, rang eller anseende som den egna ställningen"	""	""	""	""
"d7408"	"d740"	"Att engagera sig i formella relationer, andra specificerade"	""	""	""	""	""	""
"d7409"	"d740"	"Att engagera sig i formella relationer, ospecificerade"	""	""	""	""	""	""
"d750"	"d730-d779"	"Att engagera sig i informella sociala relationer"	"Informella sociala relationer"	"Att ha relationer med andra såsom otvungna relationer med människor som bor på samma ort eller med medarbetare, elever, lekkamrater och människor med likartad bakgrund eller yrke"	"att engagera sig i informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	"att ha kontakt med okända (d730); att engagera sig i formella relationer (d740); att engagera sig i informell utbildning (d810)"	""	""
"d7500"	"d750"	"Att engagera sig i informella relationer med vänner"	"Informella relationer med vänner"	"Att skapa och bibehålla vänskapsrelationer som karakteriseras av ömsesidig uppskattning och gemensamma intressen"	""	""	""	""
"d7501"	"d750"	"Att engagera sig i informella relationer med grannar"	"Informella relationer med grannar"	"Att skapa och bibehålla informella relationer med människor som bor i närheten eller angränsande bostadsområden"	""	""	""	""
"d7502"	"d750"	"Att engagera sig i informella relationer med bekanta"	"Informella relationer med bekanta"	"Att skapa och bibehålla informella relationer med människor som man känner men som inte är nära vänner"	""	""	""	""
"d7503"	"d750"	"Att engagera sig i informella relationer med personer man delar boende med"	"Informella relationer med personer man delar boende med"	"Att skapa och bibehålla informella relationer med människor som bor tillsammans i samma hus eller annan boendeform som drivs för något ändamål i privat eller offentlig regi"	""	""	""	""
"d7504"	"d750"	"Att engagera sig i informella relationer med kamrater"	"Informella relationer med kamrater"	"Att skapa och bibehålla informella relationer med människor som är i samma ålder, som delar intressen eller har andra gemensamma drag"	""	""	""	""
"d7508"	"d750"	"Att engagera sig i informella sociala relationer, andra specificerade"	""	""	""	""	""	""
"d7509"	"d750"	"Att engagera sig i informella sociala relationer, ospecificerade"	""	""	""	""	""	""
"d760"	"d730-d779"	"Att engagera sig i familjerelationer"	"Familjerelationer"	"Att skapa och bibehålla släktskapsrelationer såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare"	"att engagera sig i föräldra-barn- och barn-föräldrarelationer, syskon och vidare släktrelationer"	"att ha kontakt med okända (d730); att engagera sig i formella relationer (d740); att engagera sig i informell utbildning (d810)"	""	""
"d7600"	"d760"	"Att engagera sig i föräldra-barnrelationer"	"Föräldra-barnrelationer"	"Att bli och vara förälder, såväl biologisk som adoptivförälder, såsom att ha ett barn och förhålla sig till det som en förälder eller upprätthålla en föräldrarelation med ett adopterat barn innefattande att förse sitt biologiska eller adopterade barn med fysisk, intellektuell och känslomässig näring"	""	""	""	""
"d7601"	"d760"	"Att engagera sig i barn-förälderrelationer"	"Barn-förälderrelationer"	"Att skapa och bibehålla relationer med sin förälder såsom att ett litet barn lyder sina föräldrar eller att som vuxen tar hand om sina gamla föräldrar"	""	""	""	""
"d7602"	"d760"	"Att engagera sig i syskonrelationer"	"Syskonrelationer"	"Att skapa och bibehålla en broderlig eller systerlig relation med en person som har en eller båda föräldrarna gemensamt genom födsel, adoption eller giftermål"	""	""	""	""
"d7603"	"d760"	"Att engagera sig i utvidgade familjerelationer"	"Utvidgade familjerelationer"	"Att skapa och bibehålla en familjerelation med medlemmar av sin utvidgade familj såsom med kusiner, fastrar, mostrar, farbröder, morbröder, far- och morföräldrar"	""	""	""	""
"d7608"	"d760"	"Att engagera sig i familjerelationer, andra specificerade"	""	""	""	""	""	""
"d7609"	"d760"	"Att engagera sig i familjerelationer, ospecificerade"	""	""	""	""	""	""
"d770"	"d730-d779"	"Att engagera sig i parrelationer"	"Parrelationer"	"Att skapa och bibehålla nära eller romantiska relationer mellan personer såsom mellan man och hustru, mellan älskande eller sexualpartner"	"att engagera sig i romantiska, äktenskapliga och sexuella relationer"	"att ha kontakt med okända (d730); att engagera sig i informella sociala relationer (d750); att engagera sig i familjerelationer (d760)"	""	""
"d7700"	"d770"	"Att engagera sig i romantiska relationer"	"Romantiska relationer"	"Att skapa och bibehålla en relation grundad på känslomässig och fysisk attraktion, som kan leda till en långvarig intim relation"	""	""	""	""
"d7701"	"d770"	"Att engagera sig i äktenskapsrelationer"	"Äktenskapsrelationer"	"Att skapa och bibehålla en intim relation av laglig natur med en annan person såsom i ett legalt äktenskap innefattande att gifta sig och leva som gifta eller som sambo"	""	""	""	""
"d7702"	"d770"	"Att engagera sig i sexuella relationer"	"Sexuella relationer"	"Att skapa och bibehålla relationer av sexuell natur med make eller maka eller annan partner"	""	""	""	""
"d7708"	"d770"	"Att engagera sig i parrelationer, andra specificerade"	""	""	""	""	""	""
"d7709"	"d770"	"Att engagera sig i parrelationer, ospecificerade"	""	""	""	""	""	""
"d779"	"d730-d779"	"Att engagera sig i särskilda mellanmänskliga relationer, andra specificerade och ospecificerade"	""	""	""	""	""	""
"d798"	"d7"	"Att engagera sig i mellanmänskliga interaktioner och relationer, andra specificerade"	""	""	""	""	""	""
"d799"	"d7"	"Att engagera sig i mellanmänskliga interaktioner och relationer, ospecificerade"	""	""	""	""	""	""
"d8"	"d"	"Att engagera sig i viktiga livsområden"	"Utbildning, arbete och sysselsättning, ekonomiskt liv"	"Detta kapitel handlar om att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiska transaktioner"	""	""	""	""
"d810"	"d810-d839"	"Att engagera sig i informell utbildning"	"Informell utbildning"	"Lärande i hemmet eller i annat icke-institutionellt sammanhang såsom att lära sig hantverk och andra färdigheter av sina föräldrar, familjemedlemmar eller hemundervisning"	""	"att skaffa sig kunskaper och färdigheter i grundläggande inlärning (d130-d159); Kapitel 2 Att hantera allmänna uppgifter och krav (d2); att engagera sig i informella sociala relationer (d750); att engagera sig i familjerelationer (d760); att engagera sig i förskoleutbildning (d815); att engagera sig i skolutbildning (d820)"	""	""
"d810-d839"	"d8"	"Att engagera sig i utbildning"	""	""	""	""	""	""
