"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Relaterad ICF-kod"
"SSA.SZ.ZZ"	"SSA"	"Stöd i att ha kontakt med okända personer"	"Ospecificerade individstödjande aktivitet i att engagera sig i tillfälliga kontakter och förbindelser med okända personer för särskilda syften"	""	""	"d730"
"SSD"	"SR-SS"	"Formella relationer"	"Att skapa och bibehålla specifika relationer i formella sammanhang (såsom med lärare, arbetsgivare, yrkesutövande eller servicegivare)"	""	""	"d740"
"SSD.AA.ZZ"	"SSD"	"Bedömning av formella relationer"	"Bedömning av förmågan – att skapa och bibehålla specifika relationer i formella sammanhang – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d740"
"SSD.AM.ZZ"	"SSD"	"Observation av formella relationer"	"Iakttagelser för att utreda eller följa upp förmågan att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.AS.ZZ"	"SSD"	"Utredande samtal om formella relationer"	"Samtal som görs för att utreda förmågan att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.AT.ZZ"	"SSD"	"Inhämtning av uppgifter, från professionell, om formella relationer"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.AU.ZZ"	"SSD"	"Inhämtning av uppgifter, från annan, om formella relationer"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.AV.ZZ"	"SSD"	"Uppföljande samtal om formella relationer"	"Samtal som görs för att följa upp förmågan – att skapa och bibehålla specifika relationer i formella sammanhang – relation till mål och måluppfyllelse"	""	""	"d740"
"SSD.PH.ZZ"	"SSD"	"Färdighetsträning i formella relationer"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att skapa och bibehålla specifika relationer i formella sammanhang – genom praktiska övningar i relevant miljö"	""	""	"d740"
"SSD.PN.ZZ"	"SSD"	"Råd eller information om formella relationer"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att skapa och bibehålla specifika relationer i formella sammanhang – i relation till hälsa (eller risker)"	""	""	"d740"
"SSD.PU.ZZ"	"SSD"	"Stödjande samtal om formella relationer"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.PV.ZZ"	"SSD"	"Behandlande samtal om formella relationer"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.RB.ZZ"	"SSD"	"Praktiskt stöd i formella relationer"	"Aktivitet att praktiskt stödja eller guida individen i att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.RC.ZZ"	"SSD"	"Emotionellt stöd i formella relationer"	"Aktivitet att känslomässigt stödja eller motivera individen i att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSD.SZ.ZZ"	"SSD"	"Stöd i formella relationer"	"Ospecificerad individstödjande aktivitet i att skapa och bibehålla specifika relationer i formella sammanhang"	""	""	"d740"
"SSG"	"SR-SS"	"Informella sociala relationer"	"Att ha relationer med andra (såsom otvungna relationer med människor som bor på samma ort eller med medarbetare, elever, lekkamrater och människor med likartad bakgrund eller yrke)"	""	""	"d750"
"SSG.AA.ZZ"	"SSG"	"Bedömning av informella sociala relationer"	"Bedömning av förmågan – att skapa och bibehålla informella sociala relationer med andra – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d750"
"SSG.AM.ZZ"	"SSG"	"Observation av informella sociala relationer"	"Iakttagelser för att utreda eller följa upp förmågan att skapa och bibehålla informella sociala relationer med andra"	""	""	"d750"
"SSG.AS.ZZ"	"SSG"	"Utredande samtal om informella sociala relationer"	"Samtal som görs för att utreda förmågan att skapa och bibehålla informella sociala relationer med andra"	""	""	"d750"
"SSG.AT.ZZ"	"SSG"	"Inhämtning av uppgifter, från professionell, om informella sociala relationer"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att skapa och bibehålla informella sociala relationer med andra"	""	""	"d750"
"SSG.AU.ZZ"	"SSG"	"Inhämtning av uppgifter, från annan, om informella sociala relationer"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att skapa och bibehålla informella sociala relationer med andra"	""	""	"d750"
"SSG.AV.ZZ"	"SSG"	"Uppföljande samtal om informella sociala relationer"	"Samtal som görs för att följa upp förmågan – att skapa och bibehålla informella sociala relationer med andra – i relation till mål och måluppfyllelse"	""	""	"d750"
"SSG.PH.ZZ"	"SSG"	"Färdighetsträning i informella sociala relationer"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater – genom praktiska övningar i relevant miljö"	""	""	"d750"
"SSG.PN.ZZ"	"SSG"	"Råd eller information om informella sociala relationer"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater – i relation till hälsa (eller risker)"	""	""	"d750"
"SSG.PU.ZZ"	"SSG"	"Stödjande samtal om informella sociala relationer"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	""	""	"d750"
"SSG.PV.ZZ"	"SSG"	"Behandlande samtal om informella sociala relationer"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att skapa insikt för att åstadkomma en förändring av att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	""	""	"d750"
"SSG.RB.ZZ"	"SSG"	"Praktiskt stöd i informella sociala relationer"	"Aktivitet att praktiskt stödja eller guida individen i att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	""	""	"d750"
"SSG.RC.ZZ"	"SSG"	"Emotionellt stöd i informella sociala relationer"	"Aktivitet att känslomässigt stödja eller motivera individen i att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	""	""	"d750"
"SSG.SZ.ZZ"	"SSG"	"Stöd i informella sociala relationer"	"Ospecificerad individstödjande aktivitet i att skapa och bibehålla informella relationer med vänner, grannar, bekanta, personer man bor tillsammans med och kamrater"	""	""	"d750"
"SSJ"	"SR-SS"	"Familjerelationer"	"Att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	""	""	"d760"
"SSJ.AA.ZZ"	"SSJ"	"Bedömning av familjerelationer"	"Bedömning av förmågan – att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare) – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av förälder-barnrelation (SSK.AA.ZZ)"	""	"d760"
"SSJ.AM.ZZ"	"SSJ"	"Observation av familjerelationer"	"Iakttagelser för att utreda eller följa upp förmågan att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"observation av förälder-barnrelation (SSK.AM.ZZ)"	""	"d760"
"SSJ.AS.ZZ"	"SSJ"	"Utredande samtal om familjerelationer"	"Samtal som görs för att utreda förmågan att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"utredande samtal om förälder-barnrelation (SSK.AS.ZZ)"	""	"d760"
"SSJ.AT.ZZ"	"SSJ"	"Inhämtning av uppgifter, från professionell, om familjerelationer"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"inhämtning av uppgifter, från professionell, om förälder-barnrelation (SSK.AT.ZZ)"	""	"d760"
"SSJ.AU.ZZ"	"SSJ"	"Inhämtning av uppgifter, från annan, om familjerelationer"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"inhämtning av uppgifter, från annan, om föräldrar-barnrelation (SSK.AU.ZZ)"	""	"d760"
"SSJ.AV.ZZ"	"SSJ"	"Uppföljande samtal om familjerelationer"	"Samtal som görs för att följa upp förmågan – att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare) – i relation till mål och måluppfyllelse"	"uppföljande samtal om förälder-barnrelation (SSK.AV.ZZ)"	""	"d760"
"SSJ.PH.ZZ"	"SSJ"	"Färdighetsträning i familjerelationer"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare) – genom praktiska övningar i relevant miljö"	"färdighetsträning i förälder-barnrelation (SSK.PH.ZZ)"	""	"d760"
"SSJ.PN.ZZ"	"SSJ"	"Råd eller information om familjerelationer"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster–, adoptiv– och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare) i relation till hälsa (eller risker)"	"råd eller information om förälder-barnrelation (SSK.PU.ZZ)"	""	"d760"
"SSJ.PU.ZZ"	"SSJ"	"Stödjande samtal om familjerelationer"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"stödjande samtal om förälder-barnrelation (SSK.PU.ZZ)"	""	"d760"
"SSJ.PV.ZZ"	"SSJ"	"Behandlande samtal om familjerelationer"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"behandlande samtal om förälder-barnrelation (SSK.PV.ZZ)"	""	"d760"
"SSJ.RB.ZZ"	"SSJ"	"Praktiskt stöd i familjerelationer"	"Aktivitet att praktiskt stödja eller guida individen i att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"praktiskt stöd i förälder-barnrelation (SSK.RB.ZZ)"	""	"d760"
"SSJ.RC.ZZ"	"SSJ"	"Emotionellt stöd i familjerelationer"	"Aktivitet att känslomässigt stödja eller motivera individen i att skapa och bibehålla släktskapsrelationer (såsom med medlemmar av kärnfamilj, utvidgad familj, foster-, adoptiv- och styvfamilj, mer avlägsna relationer såsom kusiner, sysslingar eller lagliga vårdnadshavare)"	"emotionellt stöd i förälder-barnrelation (SSK.RC.ZZ)"	""	"d760"
"SSJ.SZ.ZZ"	"SSJ"	"Stöd i familjerelationer"	"Stöd i familjerelationer"	"stöd i förälder-barnrelation (SSK.SZ.ZZ)"	""	"d760"
"SSK"	"SR-SS"	"Förälder-barn relation"	"Att bli och vara förälder, såväl biologisk som adoptivförälder, (såsom att ha ett barn och förhålla sig till det som en förälder eller upprätthålla en föräldrarelation med ett adopterat barn innefattande att förse sitt biologiska eller adopterade barn med fysisk, intellektuell och känslomässig näring)"	""	""	"d7600"
"SSK.AA.ZZ"	"SSK"	"Bedömning av förälder-barnrelation"	"Bedömning av förmågan – att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d7600"
"SSK.AM.ZZ"	"SSK"	"Observation av förälder-barnrelation"	"Iakttagelser för att utreda eller följa upp förmågan att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.AS.ZZ"	"SSK"	"Utredande samtal om förälder-barnrelation"	"Samtal som görs för att utreda förmågan att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.AT.ZZ"	"SSK"	"Inhämtning av uppgifter, från professionell, om förälder-barnrelation"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.AU.ZZ"	"SSK"	"Inhämtning av uppgifter, från annan, om förälder-barnrelation"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.AV.ZZ"	"SSK"	"Uppföljande samtal om förälder-barnrelation"	"Samtal som görs för att följa upp förmågan – att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring – i relation till mål och måluppfyllelse"	""	""	"d7600"
"SSK.PH.ZZ"	"SSK"	"Färdighetsträning i förälder-barnrelation"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring – genom praktiska övningar i relevant miljö"	""	""	"d7600"
"SSK.PN.ZZ"	"SSK"	"Råd eller information om förälder-barnrelation"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring – i relation till hälsa (eller risker)"	""	""	"d7600"
"SSK.PU.ZZ"	"SSK"	"Stödjande samtal om förälder-barnrelation"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och förälderns förmåga att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.PV.ZZ"	"SSK"	"Behandlande samtal om förälder-barnrelation"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.RB.ZZ"	"SSK"	"Praktiskt stöd i förälder-barnrelation"	"Aktivitet att praktiskt stödja eller guida individen i att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.RC.ZZ"	"SSK"	"Emotionellt stöd i förälder-barnrelation"	"Aktivitet att känslomässigt stödja eller motivera individen i att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSK.SZ.ZZ"	"SSK"	"Stöd i förälder-barnrelation"	"Ospecificerad individstödjande aktivitet i att vara förälder och upprätthålla en föräldrarelation med ett barn innefattande att förse sitt barn med fysisk, intellektuell och känslomässig näring"	""	""	"d7600"
"SSM"	"SR-SS"	"Parrelationer"	"Att skapa och bibehålla nära eller romantiska relationer mellan personer (såsom mellan man och hustru, mellan älskande eller sexualpartner)"	""	""	"d770"
"SSM.AA.ZZ"	"SSM"	"Bedömning av parrelationer"	"Bedömning av förmågan – att skapa och bibehålla nära eller romantiska relationer mellan personer – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d770"
"SSM.AS.ZZ"	"SSM"	"Utredande samtal om parrelationer"	"Samtal som görs för att utreda förmågan att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"SSM.AV.ZZ"	"SSM"	"Uppföljande samtal om parrelationer"	"Samtal som görs för att följa upp förmågan – att skapa och bibehålla nära eller romantiska relationer mellan personer – i relation till mål och måluppfyllelse"	""	""	"d770"
"SSM.PH.ZZ"	"SSM"	"Färdighetsträning i parrelationer"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att skapa och bibehålla nära eller romantiska relationer mellan personer – genom praktiska övningar i relevant miljö"	""	""	"d770"
"SSM.PN.ZZ"	"SSM"	"Råd eller information om parrelationer"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att skapa och bibehålla nära eller romantiska relationer mellan personer – i relation till hälsa (eller risker)"	""	""	"d770"
"SSM.PU.ZZ"	"SSM"	"Stödjande samtal om parrelationer"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"SSM.PV.ZZ"	"SSM"	"Behandlande samtal om parrelationer"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"SSM.RB.ZZ"	"SSM"	"Praktiskt stöd i parrelationer"	"Aktivitet att praktiskt stödja eller guida individen i att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"SSM.RC.ZZ"	"SSM"	"Emotionellt stöd i parrelationer"	"Aktivitet att känslomässigt stödja eller motivera individen i att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"SSM.SZ.ZZ"	"SSM"	"Stöd i parrelationer"	"Ospecificerad individstödjande aktivitet i att skapa och bibehålla nära eller romantiska relationer mellan personer"	""	""	"d770"
"ST-SV"	""	"Aktiviteter gällande utbildning, arbete och sysselsättning samt ekonomiskt liv"	""	""	""	""
"ST1"	"ST-SV"	"Utbildning, arbete och sysselsättning, ekonomiskt liv (k)"	"Detta kapitel handlar om att engagera sig i och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiska transaktioner"	""	""	"d8"
"ST1.AA.ZZ"	"ST1"	"Bedömning av utbildning, arbete och sysselsättning, ekonomiskt liv"	"Bedömning av förmågan – att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av utbildning (ST2.AA.ZZ); arbete och sysselsättning (SU2.AA.ZZ); ekonomiskt liv (SV2.AA.ZZ); engagemang i lek (SVJ.AA.ZZ)"	""	"d810-d899"
"ST1.AC.ZZ"	"ST1"	"Manualbaserat test eller samtal om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Manualbaserat test eller samtal för att utreda eller följa upp förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"manualbaserat test eller samtal om utbildning (ST2.AC.ZZ); arbete och sysselsättning (SU2.AC.ZZ); ekonomiskt liv (SV2.AC.ZZ)"	""	"d810-d899"
"ST1.AM.ZZ"	"ST1"	"Observation av utbildning, arbete och sysselsättning, ekonomiskt liv"	"Iakttagelser för att utreda eller följa upp förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"observation av utbildning (ST2.AM.ZZ); arbete och sysselsättning (SU2.AM.ZZ); ekonomiskt liv (SV2.AM.ZZ); engagemang i lek (SVJ.AM.ZZ)"	""	"d810-d899"
"ST1.AS.ZZ"	"ST1"	"Utredande samtal om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Samtal som görs för att utreda förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"utredande samtal om utbildning (ST2.AS.ZZ); arbete och sysselsättning (SU2.AS.ZZ); ekonomiskt liv (SV2.AS.ZZ); engagemang i lek (SVJ.AS.ZZ)"	""	"d810-d899"
"ST1.AT.ZZ"	"ST1"	"Inhämtning av uppgifter, från professionell, om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"inhämtning av uppgifter, från professionell, om utbildning (ST2.AT.ZZ); arbete och sysselsättning (SU2.AT.ZZ); ekonomiskt liv (SV2.AT.ZZ); engagemang i lek (SVJ.AT.ZZ)"	""	"d810-d899"
"ST1.AU.ZZ"	"ST1"	"Inhämtning av uppgifter, från annan, om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	""	""	"d810-d899"
"ST1.AV.ZZ"	"ST1"	"Uppföljande samtal om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Samtal som görs för att följa upp förmågan – att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv – i relation till mål och måluppfyllelse"	"uppföljande samtal om utbildning (ST2.AV.ZZ); arbete och sysselsättning (SU2.AV.ZZ); ekonomiskt liv (SV2.AV.ZZ); engagemang i lek (SVJ.AV.ZZ)"	""	"d810-d899"
"ST1.AX.ZZ"	"ST1"	"Annan specificerad utredande eller uppföljande aktivitet om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Annan specificerad utredande eller uppföljande aktivitet gällande att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv i - som inte är specificerad i klassifikationen"	""	""	"d810-d899"
"ST1.AZ.ZZ"	"ST1"	"Utredande eller uppföljande aktivitet om utbildning, arbete och sysselsättning, ekonomiskt liv, ospecificerad"	"Ospecificerad utredande eller uppföljande aktivitet, gällande förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	""	""	"d810-d899"
"ST1.PH.ZZ"	"ST1"	"Färdighetsträning inom utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv – genom praktiska övningar i relevant miljö"	"färdighetsträning i utbildning (ST2.PH.ZZ); arbete och sysselsättning (SU2.PH.ZZ); ekonomiskt liv (SV2.PH.ZZ); engagemang i lek (SVJ.PH.ZZ)"	""	"d810-d899"
"ST1.PN.ZZ"	"ST1"	"Råd eller information om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att ge råd eller information som uppmuntrar en förändring av eller bibehållande av förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv – i relation till hälsa (eller risker)"	"råd eller information om utbildning (ST2.PN.ZZ); arbete och sysselsättning (SU2.PN.ZZ); ekonomiskt liv (SV2.PN.ZZ)"	""	"d810-d899"
"ST1.PU.ZZ"	"ST1"	"Stödjande samtal om utbildning, arbete och sysselsättning, ekonomiskt liv"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"stödjande samtal om utbildning (ST2.PU.ZZ); arbete och sysselsättning (SU2.PU.ZZ); ekonomiskt liv (SV2.PU.ZZ)"	""	"d810-d899"
"ST1.RB.ZZ"	"ST1"	"Praktiskt stöd i utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att praktiskt stödja eller guida individen i att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"praktiskt stöd i utbildning (ST2.RB.ZZ); arbete och sysselsättning (SU2.RB.ZZ); ekonomiskt liv (SV2.RB.ZZ); engagemang i lek (SVJ.RB.ZZ)"	""	"d810-d899"
"ST1.RC.ZZ"	"ST1"	"Emotionellt stöd i utbildning, arbete och sysselsättning, ekonomiskt liv"	"Aktivitet att känslomässigt stödja eller motivera individen i att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"emotionellt stöd i utbildning (ST2.RC.ZZ); arbete och sysselsättning (SU2.RC.ZZ); ekonomiskt liv (SV2.RC.ZZ); engagemang i lek (SVJ.RC.ZZ)"	""	"d810-d899"
"ST1.SZ.ZZ"	"ST1"	"Stöd i utbildning, arbete och sysselsättning, ekonomiskt liv"	"Ospecificerad individstödjande aktivitet avseende att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning, arbete, anställning och ekonomiskt liv"	"Stöd i utbildning (ST2.SZ.ZZ); arbete och sysselsättning (SU2.SZ.ZZ); ekonomiskt liv (SV2.SZ.ZZ); engagemang i lek (SVJ.SZ.ZZ)"	""	"d810-d899"
"ST2"	"ST-SV"	"Utbildning"	"Att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning"	""	""	"d810-d839"
"ST2.AA.ZZ"	"ST2"	"Bedömning av utbildning"	"Bedömning av förmågan – att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d810-d839"
"ST2.AC.ZZ"	"ST2"	"Manualbaserat test eller samtal om utbildning"	"Manualbaserat test eller samtal för att utreda eller följa upp förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning"	""	""	"d810-d839"
"ST2.AM.ZZ"	"ST2"	"Observation av utbildning"	"Iakttagelser för att utreda eller följa upp förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning"	""	""	"d810-d839"
"ST2.AS.ZZ"	"ST2"	"Utredande samtal om utbildning"	"Samtal som görs för att utreda förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning"	""	""	"d810-d839"
"ST2.AT.ZZ"	"ST2"	"Inhämtning av uppgifter, från professionell, om utbildning"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att engagera sig och utföra sådana uppgifter och handlingar som krävs vid utbildning"	""	""	"d810-d839"
