"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Relaterad ICF-kod"	"Relaterad ICD-10-SE-kod"
"SA242"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA243"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA244"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA300"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA301"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA302"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA303"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA304"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA310"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA311"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA312"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA313"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA314"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA320"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA321"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA322"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA323"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA324"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA330"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA331"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA332"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA333"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA334"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA340"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA341"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA342"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA343"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA344"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Supraglottisk luftväg. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA400"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA401"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA402"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA403"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA404"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA410"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA411"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA412"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA413"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA414"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA420"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA421"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA422"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA423"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA424"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA430"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA431"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA432"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA433"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA434"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA440"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA441"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA442"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA443"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA444"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Oral intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA500"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA501"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA502"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA503"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA504"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA510"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA511"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA512"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA513"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA514"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA520"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA521"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA522"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA523"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA524"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA530"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA531"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA532"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA533"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA534"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA540"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA541"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA542"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA543"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA544"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Nasal intubation. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA600"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA601"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA602"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA603"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA604"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA610"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA611"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA612"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA613"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA614"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA620"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA621"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA622"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA623"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA624"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Intravenöst med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA630"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA631"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA632"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA633"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA634"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
"SA640"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Ingen"	""	""	""	""	""	""	""
"SA641"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Intravenöst"	""	""	""	""	""	""	""
"SA642"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Inhalation"	""	""	""	""	""	""	""
"SA643"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation"	""	""	""	""	""	""	""
"SA644"	"SA"	"Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Bronkiell dubbellumentub. Huvudsakligt underhåll av narkos/sedering: Inhalation med relaxation. Huvudsakligt underhåll av analgesi: Regional"	""	""	""	""	""	""	""
